knowledge_approval,knowledge_reliability,knowledge_accuracy,knowledge_quality
0,6,10,1
0,8,9,1
0,4,4,1
0,4,1,1
0,4,3,1
0,10,3,1
0,5,3,1
0,6,3,1
0,2,9,1
0,10,2,1
0,1,6,1
0,1,9,1
0,1,9,1
0,4,5,1
0,9,2,1
0,4,10,1
0,10,5,1
0,8,8,1
0,9,4,1
0,6,2,1
0,2,10,1
0,8,10,1
0,9,4,1
0,5,5,1
0,5,10,1
0,8,1,1
0,1,5,1
0,4,5,1
0,9,4,1
0,4,8,1
0,10,2,1
0,8,3,1
0,9,10,1
0,9,2,1
0,10,5,1
0,2,5,1
0,5,1,1
0,3,10,1
0,3,5,1
0,2,5,1
0,3,6,1
0,5,8,1
0,1,5,1
0,2,3,1
0,1,1,1
0,5,2,1
0,7,8,1
0,2,6,1
0,10,9,1
0,10,9,1
0,1,8,1
0,3,3,1
0,5,7,1
0,9,5,1
0,1,1,1
0,9,7,1
0,7,3,1
0,10,5,1
0,9,7,1
0,8,8,1
0,7,1,1
0,2,7,1
0,10,6,1
0,8,4,1
0,2,8,1
0,8,8,1
0,2,7,1
0,9,8,1
0,10,10,1
0,8,9,1
0,3,9,1
0,10,5,1
0,4,2,1
0,4,10,1
0,8,3,1
0,2,8,1
0,5,5,1
0,2,3,1
0,2,8,1
0,9,1,1
0,2,1,1
0,10,2,1
0,10,9,1
0,1,10,1
0,5,9,1
0,7,9,1
0,1,10,1
0,3,1,1
0,2,4,1
0,4,2,1
0,6,9,1
0,6,4,1
0,2,8,1
0,9,7,1
0,8,9,1
0,1,9,1
0,1,9,1
0,9,1,1
0,5,3,1
0,2,5,1
0,2,6,1
0,6,4,1
0,2,3,1
0,2,9,1
0,1,7,1
0,5,4,1
0,5,2,1
0,2,3,1
0,2,4,1
0,3,4,1
0,9,9,1
0,9,1,1
0,1,2,1
0,2,3,1
0,1,1,1
0,2,10,1
0,4,4,1
0,7,1,1
0,6,3,1
0,2,1,1
0,5,2,1
0,8,1,1
0,8,5,1
0,10,7,1
0,5,5,1
0,2,3,1
0,9,3,1
0,7,10,1
0,8,7,1
0,9,9,1
0,3,9,1
0,7,4,1
0,9,10,1
0,1,8,1
0,10,4,1
0,5,6,1
0,7,9,1
0,8,3,1
0,9,8,1
0,10,9,1
0,4,9,1
0,7,1,1
0,6,5,1
0,3,6,1
0,8,2,1
0,5,3,1
0,2,8,1
0,8,1,1
0,7,3,1
0,2,10,1
0,3,10,1
0,4,7,1
0,4,5,1
0,8,8,1
0,3,7,1
0,6,6,1
0,7,4,1
0,6,2,1
0,6,3,1
0,3,3,1
0,7,5,1
0,9,1,1
0,5,7,1
0,2,1,1
0,9,10,1
0,7,9,1
0,7,1,1
0,10,4,1
0,3,4,1
0,6,5,1
0,5,6,1
0,3,6,1
0,7,3,1
0,5,8,1
0,8,10,1
0,2,2,1
0,10,4,1
0,3,8,1
0,9,9,1
0,8,9,1
0,9,2,1
0,3,8,1
0,1,8,1
0,6,10,1
0,4,2,1
0,4,4,1
0,4,3,1
0,8,9,1
0,4,8,1
0,4,9,1
0,2,6,1
0,9,1,1
0,4,8,1
0,5,3,1
0,10,7,1
0,1,2,1
0,3,4,1
0,7,5,1
0,7,2,1
0,4,2,1
0,3,9,1
0,10,6,1
0,5,3,1
0,4,5,1
0,6,3,1
0,4,8,1
0,3,4,1
0,2,5,1
0,9,1,1
0,4,10,1
0,9,1,1
0,4,10,1
0,10,3,1
0,9,3,1
0,5,1,1
0,6,5,1
0,5,2,1
0,1,1,1
0,2,8,1
0,9,9,1
0,4,8,1
0,3,3,1
0,1,1,1
0,10,9,1
0,2,8,1
0,6,9,1
0,2,5,1
0,3,3,1
0,7,7,1
0,1,7,1
0,1,6,1
0,7,5,1
0,8,10,1
0,8,9,1
0,8,4,1
0,3,5,1
0,10,3,1
0,7,2,1
0,1,8,1
0,2,3,1
0,1,1,1
0,5,6,1
0,9,5,1
0,5,6,1
0,8,7,1
0,5,6,1
0,6,1,1
0,5,6,1
0,8,6,1
0,9,8,1
0,7,5,1
0,4,10,1
0,10,8,1
0,10,1,1
0,7,6,1
0,9,2,1
0,4,7,1
0,9,6,1
0,2,4,1
